file_x,file_y,decision,dist_l2,y,y_pred
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/3260293682,1102811030_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/1479268227,3886438735_align.jpg",Yes,1.4536,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/2608794786,3710692063_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/3274237759,4220920724_align.jpg",Yes,0.4484,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/4008028382,1658346512_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/3507493643,1211308005_align.jpg",Yes,0.8222,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/4075139767,1473266532_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/2262481492,1963759866_align.jpg",Yes,1.2175,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10299269/4206069397,2050689142_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10299269/3889640573,1343801685_align.jpg",Yes,0.67,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10231614/3721095965,1053820766_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10231614/2576837732,4292606152_align.jpg",Yes,0.7811,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208830/593651236,2650948472_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208830/1045258116,703702095_align.jpg",Yes,1.0988,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10529639/3198630309,852253131_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10529639/806128879,4076904897_align.jpg",Yes,1.0738,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/1542135206,2558623820_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/4065787710,3001509022_align.jpg",Yes,1.1485,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366199/1602958801,2450844939_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366199/2993640657,3466722662_align.jpg",Yes,1.2033,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10129087/55e736d12f2eb938896c20fdd7628535e5dd6fbf.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10129087/529916429,2691743847_align.jpg",Yes,0.8698,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/2823504249,1929755739_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/4088897841,3704399750_align.jpg",Yes,0.9392,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/1148705824,3711340703_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/1305210374,2502536807_align.jpg",Yes,0.7069,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10536652/3865689693,2462267856_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10536652/3259438592,2901550134_align.jpg",Yes,1.2184,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10470675/37d3d539b6003af3242ad160332ac65c1038b619.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10470675/9213b07eca806538798c61ab94dda144ad348220.jpg_align.jpg",Yes,0.9761,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10165487/1000849737,2524296070_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10165487/2735062895,3306421817_align.jpg",Yes,0.7933,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/1078053655,1866230329_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/2925840041,3219394590_align.jpg",Yes,1.3732,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/3856161549,1119859981_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/651865402,1455193567_align.jpg",Yes,0.9527,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/2088778941,448792266_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/2765881067,249995246_align.jpg",Yes,0.9388,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/2375900122,2972868727_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/3925352068,3379571212_align.jpg",Yes,0.8388,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10179291/2095563768,3007912719_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10179291/3135887695,3495828711_align.jpg",Yes,1.3336,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/3971775655,3038064903_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/1562513695,815407167_align.jpg",Yes,1.2461,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10443361/848580501,4042595107_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10443361/4166387154,601224786_align.jpg",Yes,0.7317,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10249017/2758367002,2304318257_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10249017/352561627,2489741122_align.jpg",Yes,1.2946,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/1686368810,1525266063_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10441455/581717236,566922745_align.jpg",Yes,1.0385,1,Yes
