file_x,file_y,decision,dist_l2,y
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/416587058,1334963264_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/1149840163,2581553602_align.jpg",Yes,1.4209,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/58ee3d6d55fbb2fbad6725f54f4a20a44723dc8d.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/1429372331,2155454518_align.jpg",Yes,0.7129,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10618393/2419830853,463448868_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10618393/1229911766,1584134900_align.jpg",Yes,0.8563,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/3303594105,2951281821_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/2992834776,2670468868_align.jpg",Yes,1.128,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1230692371,38439304_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/74295705,2947353188_align.jpg",Yes,0.67,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/2673255198,1948189230_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/3048536897,3212557985_align.jpg",Yes,0.7069,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/2687059193,561540828_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/113082043,2363282216_align.jpg",Yes,0.7325,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/2191733249,1511115541_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/4060151814,2203810581_align.jpg",Yes,1.1218,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/1299616915,946335914_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/1562293873,1003450518_align.jpg",Yes,0.8949,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/780644631,3145433048_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/1510548938,2525623385_align.jpg",Yes,0.7272,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/2868301720,574112004_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/1333534590,3091333651_align.jpg",Yes,1.1786,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10263371/1663763459,1347201026_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10263371/1763074669,600525523_align.jpg",Yes,1.105,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208830/64313674,3572947563_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208830/1479707868,1965958200_align.jpg",Yes,1.2906,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/4196082854,988093947_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/1149840163,2581553602_align.jpg",Yes,0.7501,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/1017599648,2280135535_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/2780096213,1196215464_align.jpg",Yes,1.1428,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/2997735280,2782418893_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/3594838564,295794855_align.jpg",Yes,1.1535,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/1728021697,535176081_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/1312127192,3670816187_align.jpg",Yes,0.8042,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10161567/cc506c8b097cdd5dc8fc7a98.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10161567/25365217,1990151047_align.jpg",Yes,0.4321,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10505879/609929992,4154657786_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10505879/704092510,657450374_align.jpg",Yes,0.6479,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/2460050309,1752462004_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/3640519264,3218191153_align.jpg",Yes,1.0383,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/1941317408,340945109_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/1437107168,140784654_align.jpg",Yes,1.1139,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/2232697030,3848610863_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/3105760488,3349812348_align.jpg",Yes,1.2134,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/7af40ad162d9f2d374b9134da8ec8a136227cce3.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/ca1349540923dd54374dd32fd109b3de9c8248be.jpg_align.jpg",Yes,1.1442,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366199/1421236503,1930849489_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366199/377687567,2912745646_align.jpg",Yes,1.2741,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10407812/87924061,1259664404_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10407812/2054027848,2558110742_align.jpg",Yes,0.8453,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/1100354892,242052024_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/1226734921,2512284309_align.jpg",Yes,0.7357,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/5911044,4262174640_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/1228289291,350826971_align.jpg",Yes,0.6663,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10360333/1641754477,1787678666_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10360333/1764318426,381954073_align.jpg",Yes,1.3177,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10133303/3048013621,2468497922_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10133303/1837886267,3179101982_align.jpg",Yes,0.6593,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/174345283,1206586601_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/1604167866,1731322395_align.jpg",Yes,1.0928,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/3687760650,2851240549_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10354430/651865402,1455193567_align.jpg",Yes,0.9328,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10438974/730e0cf3d7ca7bcbbf117e83bf096b63f624a830.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10438974/5243fbf2b2119313693f411c64380cd791238d1a.jpg_align.jpg",Yes,0.7581,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/f703738da97739124504a29ff8198618367ae22a.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/7c1ed21b0ef41bd5448b313d51da81cb38db3d1b.jpg_align.jpg",Yes,0.813,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/3595106518,4072879133_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/3020473318,1519205688_align.jpg",Yes,1.1758,1
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10560466/3087156030,4021732669_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10560466/1196982562,1251873979_align.jpg",Yes,0.857,1
