file_x,file_y,decision,distance_l2,distance_l2_scaled
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2033024338,2950406043_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2996900555,852080785_align.jpg",Yes,1.562,-1.562
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1064443725,81020363_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/0db52fad7062d5444a36d678.jpg_align.jpg,Yes,0.6969,-0.6969
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4198803250,2026401963_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/640802359,234659442_align.jpg",Yes,1.419,-1.419
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11375/3891442477,936584836_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11375/1340820667,2772650163_align.jpg",Yes,1.4395,-1.4395
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/1131/813846020,40360654_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/1131/3214709553,160917862_align.jpg",Yes,1.2381,-1.2381
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/1185194547,492559106_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/1713564649,454267637_align.jpg",Yes,0.7938,-0.7938
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2903882682,3716624369_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/1055204053,1610472360_align.jpg",Yes,0.9669,-0.9669
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1700264269,2786645764_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/5327ce168edee954962b43e3.jpg_align.jpg,Yes,1.4445,-1.4445
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/2286966026,630579806_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/270462,2995910079_align.jpg",Yes,0.9361,-0.9361
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1946512639,1522756270_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2639258619,1377632734_align.jpg",Yes,1.4809,-1.4809
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2223/3169932695,314376900_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2223/3828778274,3662917451_align.jpg",Yes,0.5238,-0.5238
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2639258619,1377632734_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2145845385,3127195324_align.jpg",Yes,1.2342,-1.2342
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/852290995,2346374001_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/438823917,1304912170_align.jpg",Yes,0.9214,-0.9214
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/4234501406,3734853588_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/3755736485,2853730572_align.jpg",Yes,1.5038,-1.5038
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/183423830,1627352199_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2804001167,4084603668_align.jpg",Yes,1.4301,-1.4301
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/1724138856,2348214479_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3708850660,1652340902_align.jpg",Yes,0.555,-0.555
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1500049554,982072445_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2531253636,1248285634_align.jpg",Yes,1.5314,-1.5314
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5276/2858441430,547678806_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5276/1548847578,3604872323_align.jpg",Yes,0.7359,-0.7359
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/422439050,2473764264_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/228700104,3723510539_align.jpg",Yes,0.8358,-0.8358
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6751/3129544786,3433504537_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6751/1945178850,123922903_align.jpg",Yes,0.8599,-0.8599
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/3273995870,1099245446_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/988075098,935542228_align.jpg",Yes,1.4934,-1.4934
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/222300432,1323798351_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/2836643411,2901693321_align.jpg",Yes,1.5713,-1.5713
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2761189405,3243263844_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2058165757,2392531092_align.jpg",Yes,1.5019,-1.5019
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11879/4108510777,2367535007_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11879/2800077331,3806961051_align.jpg",Yes,1.1337,-1.1337
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3688019312,2562790391_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2722607394,829766120_align.jpg",Yes,1.5408,-1.5408
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2437945017,681885197_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/3782895329,561079960_align.jpg",Yes,1.2921,-1.2921
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/484/2509737998,3332812349_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/484/914277366,1460486334_align.jpg",Yes,1.4684,-1.4684
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/2117782619,116975348_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/3237993113,1480128730_align.jpg",Yes,1.2513,-1.2513
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13467/1586870632,452800238_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13467/1076711434,1342318838_align.jpg",Yes,0.728,-0.728
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1798246260,3746450363_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3249090030,1483823437_align.jpg",Yes,1.2927,-1.2927
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6331/2882254294,2732863613_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6331/1040976152,1549617684_align.jpg",Yes,1.3498,-1.3498
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1004627755,2791075210_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/519676420,287069073_align.jpg",Yes,1.5295,-1.5295
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7290/3034930970,3127767386_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7290/1148970624,529871524_align.jpg",Yes,1.4386,-1.4386
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/1453717566,422091252_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/2751688647,73776201_align.jpg",Yes,0.7003,-0.7003
